Carrier,ID,Address,Search Ring Name ID,Block,Lot,Zoning District,Height and Bulk District,Type of Building,Preference (1-7),Type of Consumer Services,Type of Consumer Products,Number of Antennas,Location of BTS,Type of Technology,Radio Frequency Range (Megahertz),Power Output of Equipment,Height to Top of Antenna,Name of Community Liason,Phone Number of Community Liason,Comments,LAT,LONG
AT&T,CCL01402,201 Mission,SF Transbay Transit Center,3718,026,C-3-O(SF),400-S,Commercial,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.79103389,-122.3947682
AT&T,CCL02220,333 Fremont St,333 Fremont St,TBD,TBD,TBD,TBD,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.78768215,-122.3926945
AT&T,CCL02265,350 Sansome Street,California & Front,TBD,TBD,TBD,TBD,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.79378289,-122.4010013
AT&T,CCL03272,3301 Lyon Street,TBD,TBD,TBD,TBD,TBD,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.80188372,-122.4482956
AT&T,CCL03293,1201 Fourth Street,Anza Street,8711,028,MB-RA,MB-RA,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.77269349,-122.3911281
AT&T,CCL05208,350 Sansome Street,Baron Apartments,0238,006,C-3-O,350-S,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.79378289,-122.4010013
AT&T,CCL05582,2990 24th Street,LTE CAP Site Folsom,4206,040,NCT- 24th-Mission,55-X,Mixed Use,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.75286954,-122.4117359
AT&T,CCL05718,5140 Geary Boulevard,Ross Parking Lot,1448,020,RH-2/NC-3,40-X,TBD,,"voice, video & data",wireless phones & modems,12,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.78085562,-122.4747624
AT&T,CCL05863,295 Bay Street,Anime Treater,0040,017,C-2,40-X,TBD,,"voice, video & data",wireless phones & modems,12,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.80554817,-122.4116092
AT&T,TBD,1 McCoppin Street,TBD,3513,001,NCT-3,40-X  85-X,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.77131193,-122.4207075
AT&T,TBD,2345 Pine Street,TBD,0659,066,NCD,40-X,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.78771114,-122.4344238
AT&T,TBD,555 Pine Street,TBD,0270,039-040,C-3-R,80-130-F,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.79133911,-122.4050266
AT&T,TBD,611 Folsom Street,TBD,3750,087-088,C-3-S,200-S,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.7849799,-122.3965363
AT&T,TBD,1515 19th Avenue,TBD,1865,4,RH-2,40-X,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.75923792,-122.4773512
AT&T,TBD,6150 3rd Street,TBD,5431A,001M,PDR-2,65-J,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.723291,-122.3955156
AT&T,TBD,3333 25th Street,TBD,6527,45,RTO-M,55-X,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.75036864,-122.4168613
AT&T,TBD,389 9th Avenue,TBD,1441,035,NC-3,40-X,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,37.78120299,-122.4676981
AT&T,TBD,1930 Steiner Street,TBD,TBD,TBD,TBD,TBD,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","1900, 2300, 39000",TBD,,Melissa Murphree,925-963-8027,,37.78742237,-122.4350209
AT&T,CCL02663,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,,
AT&T,CCL03269,670 Kezar Drive,TBD,1700,001,P,OS,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,,
AT&T,CCL03636,Presidio Park Near 2999 Vallejo Street,China Basin in Mission Bay,TBD,TBD,TBD,TBD,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,,
AT&T,CCL04508,TBD,Arguello Blvd and Clay St.,TBD,TBD,TBD,TBD,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,,
AT&T,CCL05249,TBD,Elsie St & Appleton Ave,TBD,TBD,TBD,TBD,TBD,,"voice, video & data",wireless phones & modems,12,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,,
AT&T,CCL05270,1400 JF Jennedy Dr.,Lawton St and 47th Ave,TBD,TBD,TBD,TBD,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,,
AT&T,CCL05492,570 Judson Ave,TBD,TBD,TBD,TBD,TBD,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,,
