Carrier,ID ,Search Ring Name ID,Block,Lot,Zoning District,Hight and Bulk District,Type of Building,Preference (1-7),Type of Consumer Services,Type of Consumer Products,Number of Antennas,Location of BTS,Type of Technology,Radio Frequency Range (Megahertz),Power Output of Equipment (Watts),Height to Top of Antenna,Name of Community Liason,Phone Number of Community Liason,Comments,Latitude,Longitude
AT&T,CCL00001,Marshall Hale,1017,028,RM-2,80-E,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,87,Melissa Murphree,925-963-8027,CCL02745 is a proposed replacement for CCL00001,37.78688,-122.45489
AT&T,CCL00002,Embarcadero,0237,014/016,C-3-O,350-S,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,252,Melissa Murphree,925-963-8027,,37.79398,-122.39962
AT&T,CCL00005,Mercy High School,7231,003,RH-1(D),40-X,Public,,"voice, video & data",wireless phones & modems,12,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,67,Melissa Murphree,925-963-8027,,37.72981,-122.47384
AT&T,CCL00006,Bernal Heights,3637,069,NCT,40-X/65-B,Commercial,,"voice, video & data",wireless phones & modems,9,Ground Fl,"UMTS, LTE","700, 850, 1900,1700,2300",16650,120,Melissa Murphree,925-963-8027,,37.75522,-122.41836
AT&T,CCL00049,Marina Safeway,0503,030,RC-3,65-A/40-X,Commercial,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,127,Melissa Murphree,925-963-8027,,37.80087,-122.42503
AT&T,CCL00057,Daly City,6071,002,P,40-X,Public,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,51,Melissa Murphree,925-963-8027,,37.71896,-122.42530
AT&T,CCL00058,Alemany,5054,A009,NCS,40-X,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,37,Melissa Murphree,925-963-8027,CCL04382 is a proposed replacement for CCL00058,37.71467,-122.39853
AT&T,CCL00059,Sunset,2194,001,P,40-X,Public,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,70,Melissa Murphree,925-963-8027,,37.74759,-122.48103
AT&T,CCL00077,Japan Town,0701,001,NC-3,50-A/65-A,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,65,Melissa Murphree,925-963-8027,,37.78501,-122.43281
AT&T,CCL00078,Nob Hill,0691,005,RC-4,130-V,Commercial,,"voice, video & data",wireless phones & modems,12,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,67,Melissa Murphree,925-963-8027,CCL02662 is a proposed replacement for CCL00778,37.78717,-122.42075
AT&T,CCL00096,SF Civic Ctr,0345,007,C-3-G,80-X,Residential,,"voice, video & data",wireless phones & modems,12,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,68,Melissa Murphree,925-963-8027,,37.78198,-122.41498
